#lambda (Ang), continuum-normalized flux
6445.400, 0.9995
6445.540, 0.9995
6445.680, 0.9995
6445.820, 0.9995
6445.960, 0.9995
6446.100, 0.9995
6446.240, 0.9994
6446.380, 0.9994
6446.520, 0.9994
6446.660, 0.9995
6446.800, 0.9995
6446.940, 0.9995
6447.080, 0.9995
6447.220, 0.9995
6447.360, 0.9995
6447.500, 0.9995
6447.640, 0.9995
6447.780, 0.9994
6447.920, 0.9993
6448.060, 0.9992
6448.200, 0.9989
6448.340, 0.9985
6448.480, 0.9980
6448.620, 0.9972
6448.760, 0.9962
6448.900, 0.9951
6449.040, 0.9937
6449.180, 0.9923
6449.320, 0.9908
6449.460, 0.9895
6449.600, 0.9885
6449.740, 0.9878
6449.880, 0.9876
6450.020, 0.9879
6450.160, 0.9886
6450.300, 0.9897
6450.440, 0.9910
6450.580, 0.9924
6450.720, 0.9938
6450.860, 0.9951
6451.000, 0.9963
6451.140, 0.9972
6451.280, 0.9979
6451.420, 0.9984
6451.560, 0.9987
6451.700, 0.9990
6451.840, 0.9991
6451.980, 0.9992
6452.120, 0.9993
6452.260, 0.9993
6452.400, 0.9993
6452.540, 0.9993
6452.680, 0.9993
6452.820, 0.9994
6452.960, 0.9994
6453.100, 0.9994
6453.240, 0.9994
6453.380, 0.9994
6453.520, 0.9994
6453.660, 0.9993
6453.800, 0.9992
6453.940, 0.9992
6454.080, 0.9990
6454.220, 0.9988
6454.360, 0.9986
6454.500, 0.9983
6454.640, 0.9979
6454.780, 0.9974
6454.920, 0.9968
6455.060, 0.9961
6455.200, 0.9952
6455.340, 0.9943
6455.480, 0.9933
6455.620, 0.9923
6455.760, 0.9913
6455.900, 0.9904
6456.040, 0.9897
6456.180, 0.9893
6456.320, 0.9891
6456.460, 0.9893
6456.600, 0.9898
6456.740, 0.9906
6456.880, 0.9917
6457.020, 0.9928
6457.160, 0.9940
6457.300, 0.9952
6457.440, 0.9962
6457.580, 0.9971
6457.720, 0.9978
6457.860, 0.9983
6458.000, 0.9987
6458.140, 0.9990
6458.280, 0.9992
6458.420, 0.9993
6458.560, 0.9994
6458.700, 0.9994
6458.840, 0.9994
6458.980, 0.9994
6459.120, 0.9994
6459.260, 0.9994
6459.400, 0.9994
6459.540, 0.9994
6459.680, 0.9994
6459.820, 0.9994
6459.960, 0.9994
6460.100, 0.9994
6460.240, 0.9993
6460.380, 0.9992
6460.520, 0.9990
6460.660, 0.9986
6460.800, 0.9981
6460.940, 0.9973
6461.080, 0.9960
6461.220, 0.9941
6461.360, 0.9917
6461.500, 0.9884
6461.640, 0.9845
6461.780, 0.9799
6461.920, 0.9750
6462.060, 0.9700
6462.200, 0.9655
6462.340, 0.9618
6462.480, 0.9595
6462.620, 0.9587
6462.760, 0.9595
6462.900, 0.9620
6463.040, 0.9657
6463.180, 0.9703
6463.320, 0.9752
6463.460, 0.9801
6463.600, 0.9847
6463.740, 0.9885
6463.880, 0.9917
6464.020, 0.9941
6464.160, 0.9959
6464.300, 0.9971
6464.440, 0.9979
6464.580, 0.9984
6464.720, 0.9987
6464.860, 0.9989
6465.000, 0.9991
6465.140, 0.9991
6465.280, 0.9992
6465.420, 0.9992
6465.560, 0.9992
6465.700, 0.9993
6465.840, 0.9993
6465.980, 0.9993
6466.120, 0.9993
6466.260, 0.9993
6466.400, 0.9993
6466.540, 0.9993
